recordId,sprk_graphdriveid,mapped_index,action,detail
01887f32-3dfd-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
bc14c33f-3dfd-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
9982309a-55fd-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
a282309a-55fd-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
d41f6b8b-e9fd-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
0e7375e7-a1ff-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
46cec056-a3ff-f011-8407-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
0930abff-75d3-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
a5b92adf-37d4-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
f2221f00-d7d6-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
4a59902e-dbd6-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
bb77a0e6-ded6-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
6e0ee542-e1d6-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
5cb99ac3-e1d6-f011-8543-7c1e520aa4df,"b!yLRdWEOAdkaWXskuRfByIRiz1S9kb_xPveFbearu6y9k1_PqePezTIDObGJTYq50",spaarke-knowledge-index-v2,dry-run-fill,"Would PATCH sprk_searchindexname"
